spectral_type,t_eff,lum_lsun
O5,39400,741000
O6,37800,519000
O7,36500,375000
O8,35000,277000
B0,29200,84700
B1,24500,32200
B2,20200,11100
B3,18300,6400
B5,15100,2080
B6,13800,1200
B7,12700,710
B8,11700,425
B9,10900,263
A0,10200,169
A1,9820,129
A2,9460,100
A5,8550,52
A8,7830,33
F0,7400,27
F2,7000,24
F5,6410,22
G0,5470,29
G2,5300,31
G8,4800,44
K0,4660,50
K1,4510,58
K3,4260,79
K4,4150,93
K5,4050,110
K7,3870,154
M0,3690,256
M1,3600,355
M2,3540,483
M3,3480,643
M4,3440,841
M5,3380,1100
M6,3330,1470
